City,datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,temperature_2m,relative_humidity_2m,apparent_temperature,rain,pressure_msl,wind_speed_10m,dew_point_2m,weather_code,surface_pressure,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,wind_gusts_10m,wind_direction_10m,cloud_cover,precipitation,et0_fao_evapotranspiration,vapour_pressure_deficit,cloud_cover_high,cloud_cover_low,cloud_cover_mid,soil_temperature_7_to_28cm,wind_speed_100m,wind_direction_100m,is_day,total_column_integrated_water_vapour,wet_bulb_temperature_2m,direct_radiation,direct_radiation_instant,hour,weekday,is_weekend,traffic_level
Kolkata,2015-01-11,340.3,457.5,116.0,148.7,159.7,9.2,6.18,60.6,59.5,17.57,18.41,2.67,168.6,Very Poor,12.0175,92.98383,10.90205,0.0,1017.4,9.605998,10.9175,0.0,1016.1821,14.4675,0.235,15.84,12.99463,0.0,0.0,0.0,0.098650575,0.0,0.0,0.0,18.9675,20.49156,18.435053,0.0,12.7,11.222019,0.0,0.0,0,6,1,Medium
Kolkata,2015-01-12,44.1,533.8,170.5,34.1,75.2,27.7,7.51,50.7,19.7,18.91,27.86,0.42,475.9,Good,11.367499,93.88405,10.307345,0.0,1016.6,8.209263,10.4175,0.0,1015.38025,14.2675,0.227,11.5199995,15.255177,11.0,0.0,0.0,0.0823853,10.0,0.0,0.0,18.817501,19.191748,23.198618,0.0,12.1,10.671442,0.0,0.0,0,0,0,Medium
Kolkata,2015-01-13,155.0,353.5,133.8,48.9,73.2,34.3,9.64,11.2,86.6,14.1,21.8,5.33,168.9,Good,10.9675,92.92769,9.8949175,0.0,1016.0,7.208994,9.867499,2.0,1014.7794,13.7675,0.219,11.879999,357.13766,50.0,0.0,0.0,0.09277868,49.0,0.0,0.0,18.567501,17.771753,6.980963,0.0,13.5,10.174742,0.0,0.0,0,1,0,Medium
Kolkata,2015-01-14,93.6,283.7,49.3,35.6,14.5,14.7,3.79,42.8,85.2,12.7,23.66,5.51,89.7,Severe,12.367499,94.55369,11.856058,0.0,1015.3,6.725354,11.5175,0.0,1014.0859,14.5675,0.212,11.5199995,15.524177,0.0,0.0,0.0,0.07835698,0.0,0.0,0.0,18.817501,13.217443,29.357658,0.0,15.4,11.736986,0.0,0.0,0,2,0,Medium
Kolkata,2015-01-15,63.1,121.1,37.5,8.3,68.8,27.9,3.54,5.6,171.2,14.36,9.02,0.81,464.6,Satisfactory,12.867499,93.953476,12.355551,0.0,1016.1,7.5942073,11.9175,0.0,1014.8871,14.867499,0.206,12.24,354.55975,0.0,0.0,0.0,0.089886546,0.0,0.0,0.0,19.2175,19.469976,356.82022,0.0,12.7,12.169781,0.0,0.0,0,3,0,Medium
Kolkata,2015-01-16,42.1,279.2,32.5,74.1,173.4,35.0,4.72,82.4,169.0,0.57,8.74,7.23,255.0,Poor,14.0675,91.58137,13.543243,0.0,1015.5,9.47012,12.7175,0.0,1014.2929,15.7175,0.2,15.119999,8.746089,1.0,0.0,0.0,0.13530433,0.0,0.0,1.0,19.6175,23.023119,9.90412,0.0,16.6,13.100466,0.0,0.0,0,4,0,Medium
Kolkata,2015-01-17,475.3,296.7,119.5,70.6,130.0,39.1,8.12,97.8,59.1,6.15,10.46,9.45,234.2,Moderate,15.367499,82.57792,14.579584,0.0,1014.7,10.594036,12.4175,0.0,1013.4993,17.1175,0.195,19.8,350.21765,5.0,0.0,0.009782468,0.3044697,0.0,4.0,4.0,20.2675,22.19773,351.60715,0.0,18.4,13.370815,0.0,0.0,0,5,1,Medium
Kolkata,2015-01-18,408.7,407.1,6.2,70.4,242.6,45.6,0.4,97.0,94.0,18.22,4.43,6.1,224.7,Severe,12.4675,89.67595,11.314128,0.0,1016.1,9.659814,10.8175,0.0,1014.88556,15.117499,0.189,16.199999,333.43503,0.0,0.0,0.0,0.1495161,0.0,0.0,0.0,19.8675,20.991426,337.8336,0.0,12.0,11.315805,0.0,0.0,0,6,1,Medium
Kolkata,2015-01-19,58.6,534.5,91.6,6.5,42.0,47.9,1.92,64.1,171.6,8.65,14.47,8.78,467.9,Poor,12.4175,94.55577,11.736769,0.0,1016.6,7.9932976,11.5675,0.0,1015.3847,14.9175,0.184,14.4,352.23492,0.0,0.0,0.0,0.078584194,0.0,0.0,0.0,19.317501,18.72,360.0,0.0,15.8,11.78698,0.0,0.0,0,0,0,Medium
Kolkata,2015-01-20,394.8,356.9,31.4,108.2,137.9,33.0,9.2,11.3,188.0,5.53,29.17,5.41,207.0,Good,13.0175,95.83191,12.748741,0.0,1018.2,6.924738,12.367499,1.0,1016.98535,15.4175,0.181,11.879999,8.97255,29.0,0.0,0.0,0.06257057,19.0,13.0,0.0,19.417501,16.171976,16.82149,0.0,15.1,12.522869,0.0,0.0,0,1,0,Medium
Kolkata,2015-01-21,96.1,514.2,160.0,57.8,35.7,36.7,1.08,69.3,155.2,14.08,13.93,3.76,440.5,Good,12.867499,92.11215,11.987015,0.0,1019.9,9.47012,11.617499,0.0,1018.6826,15.3175,0.177,15.4800005,8.746089,0.0,0.0,0.0,0.117260575,0.0,0.0,0.0,19.667501,21.398056,12.633354,0.0,12.3,11.971176,0.0,0.0,0,2,0,Medium
Kolkata,2015-01-22,247.5,112.7,108.0,5.3,16.4,26.4,1.01,35.7,163.7,6.78,14.98,4.06,85.0,Good,11.7175,93.27778,10.876873,0.0,1019.1,7.208994,10.6675,0.0,1017.8788,14.4175,0.174,10.440001,2.8623457,0.0,0.0,0.0,0.09266877,0.0,0.0,0.0,19.567501,14.587776,15.75124,0.0,11.4,10.955406,0.0,0.0,0,3,0,Medium
Kolkata,2015-01-23,437.7,541.7,83.8,91.2,88.0,44.1,6.09,2.6,17.6,19.0,23.61,7.08,87.5,Moderate,12.367499,97.083206,11.693287,0.0,1016.8,8.707238,11.9175,0.0,1015.5841,14.0675,0.17,9.72,277.1249,0.0,0.0,0.0,0.041963577,0.0,0.0,0.0,19.6175,9.028754,274.57382,0.0,13.5,12.008583,0.0,0.0,0,4,0,Medium
Kolkata,2015-01-24,141.5,208.7,172.3,79.3,191.1,8.0,5.06,27.3,20.2,2.57,20.44,5.16,130.4,Severe,13.7175,94.60934,13.7782135,0.0,1016.4,5.8048253,12.867499,0.0,1015.1903,15.9675,0.167,10.799999,330.25522,8.0,0.0,0.0,0.084694386,8.0,0.0,0.0,20.167501,16.299694,329.47037,0.0,21.9,13.086876,0.0,0.0,0,5,1,Medium
Kolkata,2015-01-25,113.3,432.1,67.7,3.6,95.5,27.4,7.8,91.8,48.3,11.02,3.24,5.89,119.2,Satisfactory,14.9175,91.33689,15.028536,0.0,1017.9,6.9899354,13.5175,0.0,1016.6936,16.7675,0.164,11.159999,11.888645,5.0,0.0,0.0,0.14707685,4.0,1.0,0.0,20.817501,16.73516,18.824812,0.0,21.1,13.913395,0.0,0.0,0,6,1,Medium
Kolkata,2015-01-26,13.2,474.7,103.8,82.2,237.0,20.6,7.59,35.6,29.9,2.48,17.06,4.25,264.2,Moderate,14.867499,91.03679,14.715088,0.0,1017.9,8.557102,13.4175,2.0,1016.6936,16.817501,0.161,14.759999,22.249071,72.0,0.0,0.0,0.15168405,72.0,0.0,0.0,20.9675,19.483284,27.511923,0.0,21.2,13.830349,0.0,0.0,0,0,0,Medium
Kolkata,2015-01-27,316.8,527.0,168.0,28.6,113.8,14.1,2.1,95.6,91.4,0.64,1.91,1.33,213.1,Poor,15.117499,94.36035,15.599268,0.0,1015.6,6.162207,14.2175,0.0,1014.3973,17.2175,0.159,9.0,6.70975,0.0,0.0,0.0,0.09698117,0.0,0.0,0.0,21.4675,12.397806,25.820946,0.0,22.9,14.4524,0.0,0.0,0,1,0,Medium
Kolkata,2015-01-28,4.5,41.8,77.2,123.5,201.1,44.8,7.97,36.0,109.7,10.11,1.17,5.61,128.0,Poor,16.0175,95.92602,16.97607,0.0,1014.2,5.8603754,15.367499,1.0,1013.0028,17.9675,0.157,9.36,10.61961,25.0,0.0,0.0,0.074204445,11.0,14.0,1.0,21.9675,9.387651,32.471172,0.0,27.2,15.528303,0.0,0.0,0,2,0,Medium
Kolkata,2015-01-29,436.0,595.6,160.1,86.0,27.5,2.9,5.1,9.6,77.4,18.15,10.3,6.63,218.0,Very Poor,16.4675,95.63365,17.805706,0.0,1014.3,4.3349743,15.7675,0.0,1013.10425,18.4675,0.155,8.64,4.763556,1.0,0.0,0.0,0.08183873,0.0,1.0,0.0,22.417501,6.8777895,47.12111,0.0,28.0,15.943569,0.0,0.0,0,3,0,Medium
Kolkata,2015-01-30,140.8,249.9,130.4,95.8,244.7,12.8,1.0,79.8,8.9,18.02,18.91,4.57,133.6,Poor,17.417501,92.670135,18.507029,0.0,1016.5,7.2805495,16.2175,1.0,1015.3058,19.417501,0.154,14.04,351.4693,33.0,0.0,0.0,0.14589429,0.0,11.0,28.0,22.417501,15.124284,358.6361,0.0,34.0,16.541033,0.0,0.0,0,4,0,Medium
Kolkata,2015-01-31,345.1,486.9,167.1,34.3,31.2,1.3,3.72,87.9,124.3,2.12,2.09,9.47,81.5,Satisfactory,12.9175,84.219574,11.606771,0.0,1018.0,9.726665,10.3175,0.0,1016.7852,15.4675,0.154,15.84,2.1210518,0.0,0.0,0.0043924227,0.2353729,0.0,0.0,0.0,20.6175,21.599998,360.0,0.0,14.4,11.176291,0.0,0.0,0,5,1,Medium
Kolkata,2015-02-01,73.6,568.9,175.9,138.6,231.9,5.6,9.39,51.7,133.0,13.03,3.78,9.38,266.8,Very Poor,11.0175,90.775345,9.948246,0.0,1017.7,6.6087217,9.5675,0.0,1016.47736,14.1675,0.152,10.799999,29.357658,0.0,0.0,0.0,0.121418,0.0,0.0,0.0,20.067501,14.003028,43.958473,0.0,14.7,10.001834,0.0,0.0,0,6,1,Medium
Kolkata,2015-02-02,469.7,124.6,7.7,63.3,69.1,20.3,3.5,16.3,83.5,11.38,19.3,9.08,274.5,Very Poor,11.867499,91.4415,11.053063,0.0,1018.3,6.725354,10.5175,0.0,1017.0804,14.5175,0.151,11.159999,15.524177,0.0,0.0,0.0,0.119155884,0.0,0.0,0.0,20.0175,14.973577,27.181028,0.0,13.3,10.910667,0.0,0.0,0,0,0,Medium
Kolkata,2015-02-03,304.6,10.0,195.8,15.7,63.8,32.3,9.1,18.4,123.3,5.97,16.64,0.25,472.3,Good,13.5675,88.876465,13.032938,0.0,1019.3,7.42159,11.7675,1.0,1018.08624,15.5675,0.15,12.599999,22.833694,30.0,0.0,0.0,0.17308044,30.0,0.0,0.0,20.567501,19.33639,28.950893,0.0,14.2,12.311544,0.0,0.0,0,1,0,Medium
Kolkata,2015-02-04,439.2,345.4,147.4,5.5,175.3,41.5,3.03,84.5,177.7,7.81,5.47,1.31,409.8,Moderate,16.0175,84.84189,16.3657,0.0,1018.8,5.2416787,13.4675,2.0,1017.59735,15.8175,0.148,6.4799995,344.05453,69.0,0.0,0.0,0.27612674,65.0,15.0,0.0,21.167501,6.2145634,10.007925,0.0,17.7,14.257286,0.0,0.0,0,2,0,Medium
Kolkata,2015-02-05,218.2,15.7,67.1,92.3,184.2,44.2,9.91,43.6,118.7,3.73,7.34,8.15,62.8,Very Poor,15.5175,91.079865,15.913078,0.0,1016.8,6.379216,14.0675,2.0,1015.5974,17.7175,0.147,11.159999,343.61038,77.0,0.0,0.0,0.15737939,77.0,0.0,0.0,22.1175,15.2947035,333.43503,0.0,24.6,14.47706,0.0,0.0,0,3,0,Medium
Kolkata,2015-02-06,417.5,404.5,179.3,67.2,182.0,30.9,0.15,89.3,104.3,17.88,4.01,1.16,235.0,Very Poor,17.317501,77.86455,16.794926,0.0,1016.7,11.090103,13.4175,3.0,1015.50494,19.2675,0.146,19.44,13.134034,93.0,0.0,0.01995345,0.43789387,87.0,1.0,39.0,22.9675,20.966715,15.945477,0.0,23.4,14.703705,0.0,0.0,0,4,0,Medium
Kolkata,2015-02-07,332.8,347.2,142.9,117.4,210.8,49.0,3.04,43.8,147.0,1.53,19.58,3.43,456.4,Poor,13.867499,82.39193,12.9349785,0.0,1016.4,8.350138,10.9175,2.0,1015.19104,16.7675,0.145,15.119999,7.4313188,66.0,0.0,0.0041815257,0.2793783,66.0,0.0,0.0,22.2175,19.9954,13.535882,0.0,13.5,11.900461,0.0,0.0,0,5,1,Medium
Kolkata,2015-02-08,138.5,201.9,9.5,103.3,54.5,2.5,0.15,45.0,166.9,18.42,19.66,7.2,358.7,Good,14.617499,90.723595,14.493343,0.0,1015.6,7.653705,13.117499,2.0,1014.3951,16.067501,0.144,8.64,318.81415,76.0,0.0,0.0,0.15447986,71.0,16.0,0.0,21.7175,8.427383,289.9832,0.0,18.8,13.548588,0.0,0.0,0,6,1,Medium
Kolkata,2015-02-09,161.0,105.8,13.6,67.7,80.8,26.0,7.06,0.8,17.3,3.02,21.89,9.25,38.1,Poor,15.2675,94.36671,15.848141,0.0,1016.4,5.8603754,14.367499,2.0,1015.1971,17.917501,0.143,8.64,10.61961,76.0,0.0,0.0,0.097807646,75.0,0.0,0.0,22.567501,7.8954163,24.227736,0.0,22.6,14.6023655,0.0,0.0,0,0,0,Medium
Kolkata,2015-02-10,162.9,266.0,53.3,2.2,194.0,1.6,5.95,47.6,17.5,0.88,10.38,5.5,295.8,Very Poor,16.8675,92.344154,17.975214,0.0,1017.8,5.506941,15.617499,3.0,1016.60205,18.8675,0.143,9.0,348.6901,94.0,0.0,0.0,0.14718235,93.0,0.0,8.0,23.1175,10.239453,10.124612,0.0,30.6,15.957815,0.0,0.0,0,1,0,Medium
Kolkata,2015-02-11,265.3,229.5,56.1,78.7,244.5,6.3,8.29,57.7,91.6,16.68,17.9,4.03,306.8,Good,18.6175,88.43342,19.922613,0.0,1015.5,7.072878,16.667501,3.0,1014.31177,20.2675,0.142,11.879999,14.743609,89.0,0.0,0.0,0.248227,88.0,8.0,0.0,23.5175,15.716793,20.095322,0.0,26.0,17.218966,0.0,0.0,0,2,0,Medium
Kolkata,2015-02-12,458.1,277.6,133.4,62.8,5.1,6.4,6.46,79.6,55.0,6.47,25.44,2.38,453.4,Moderate,15.2675,91.65625,15.825405,0.0,1014.5,4.896529,13.9175,0.0,1013.2993,18.0175,0.141,9.0,17.102825,5.0,0.0,0.0,0.14487171,0.0,0.0,5.0,23.317501,5.3517847,19.653913,0.0,26.5,14.295336,0.0,0.0,0,3,0,Medium
Kolkata,2015-02-13,142.6,47.3,195.7,24.0,163.9,23.9,4.38,61.5,189.9,9.09,29.48,3.69,486.9,Moderate,16.817501,99.05243,18.522774,0.0,1012.2,4.3349743,16.667501,3.0,1011.0083,19.2675,0.141,10.440001,311.63345,100.0,0.0,0.0,0.018158197,4.0,100.0,1.0,23.567501,9.028754,293.49857,0.0,24.0,16.69376,0.0,0.0,0,4,0,Medium
Kolkata,2015-02-14,90.9,239.9,50.1,69.9,229.9,8.7,4.36,3.8,57.3,16.51,25.02,8.31,14.4,Severe,17.3675,99.6846,19.084497,0.0,1012.2,6.151683,17.317501,2.0,1011.01056,19.8675,0.142,9.72,20.556128,70.0,0.0,0.0,0.006257415,0.0,55.0,35.0,23.7175,12.0694,17.354122,0.0,23.4,17.321602,0.0,0.0,0,5,1,Medium
Kolkata,2015-02-15,430.0,584.0,123.2,5.4,227.2,32.8,1.74,49.1,98.0,14.19,20.79,6.11,85.7,Severe,19.067501,99.06855,22.024021,0.0,1011.6,2.6208394,18.917501,3.0,1010.4182,19.567501,0.145,7.2,195.94547,100.0,0.0,0.0,0.020554781,0.0,100.0,0.0,23.567501,5.3517847,199.65392,0.0,28.1,18.957193,0.0,0.0,0,6,1,Medium
Kolkata,2015-02-16,483.9,302.3,44.9,54.9,237.9,34.2,3.97,4.2,65.7,4.84,11.45,1.31,482.7,Very Poor,18.417501,95.39617,19.55686,1.4,1014.1,11.159999,17.667501,61.0,1012.91266,21.0175,0.232,23.759998,90.0,79.0,1.4,0.0,0.09756589,0.0,71.0,28.0,23.9675,19.110542,93.23964,0.0,31.5,17.860558,0.0,0.0,0,0,0,Medium
Kolkata,2015-02-17,319.1,446.7,92.2,72.9,244.2,21.9,7.33,58.2,171.9,7.2,8.38,1.38,157.2,Poor,19.4675,97.23682,22.61867,0.0,1013.1,1.609969,19.0175,3.0,1011.918,19.817501,0.237,3.2399998,116.56499,100.0,0.0,0.0,0.06251216,6.0,100.0,0.0,23.317501,2.968636,165.96373,0.0,29.7,19.133892,0.0,0.0,0,1,0,Medium
Kolkata,2015-02-18,356.3,268.1,120.6,91.2,181.0,19.4,4.37,35.6,101.0,16.42,7.94,3.26,334.6,Moderate,19.1175,98.76025,21.626097,0.0,1011.2,5.6920996,18.917501,0.0,1010.019,20.7175,0.23,9.0,161.56496,15.0,0.0,0.0,0.027443886,0.0,14.0,0.0,23.7675,14.04,180.0,0.0,29.1,18.969734,0.0,0.0,0,2,0,Medium
Kolkata,2015-02-19,350.5,239.0,173.0,20.9,116.4,45.3,8.29,46.0,198.4,14.91,13.64,1.09,53.2,Severe,20.817501,95.477745,23.826159,0.0,1012.1,6.1094027,20.067501,3.0,1010.9245,21.667501,0.291,14.4,224.9999,85.0,0.0,0.0,0.1111927,0.0,83.0,17.0,24.067501,13.513193,221.76021,0.0,33.1,20.264175,0.0,0.0,0,3,0,Medium
Kolkata,2015-02-20,177.0,301.5,76.0,7.0,40.6,29.0,8.92,39.1,47.4,4.61,27.22,8.83,40.3,Good,20.067501,99.38288,23.400362,0.0,1013.5,3.5455887,19.9675,3.0,1012.3201,20.067501,0.289,4.32,246.0375,99.0,0.0,0.0,0.0144889355,0.0,98.0,0.0,23.5175,7.42159,230.90614,0.0,26.0,20.001415,0.0,0.0,0,4,0,Medium
Kolkata,2015-02-21,398.8,548.3,73.4,5.9,58.5,30.5,4.36,80.2,73.9,12.54,25.36,0.65,393.7,Very Poor,18.8675,99.68821,21.526934,0.0,1012.9,4.3349743,18.817501,3.0,1011.7158,20.317501,0.26,8.64,318.36655,100.0,0.0,0.0,0.0067956448,0.0,100.0,0.0,23.817501,7.653705,311.18582,0.0,25.8,18.831673,0.0,0.0,0,5,1,Medium
Kolkata,2015-02-22,434.1,431.8,176.5,117.4,96.6,30.2,9.85,28.8,106.7,0.94,26.73,9.3,314.5,Very Poor,20.667501,95.47271,23.827824,0.0,1011.5,4.5536795,19.917501,0.0,1010.32465,21.917501,0.237,16.199999,251.56496,2.0,0.0,0.0,0.11029625,0.0,0.0,1.0,24.567501,11.808878,232.43134,0.0,27.0,20.113934,0.0,0.0,0,6,1,Medium
Kolkata,2015-02-23,415.9,313.2,144.4,18.7,100.8,7.6,0.62,15.7,7.8,2.7,10.81,2.73,65.5,Moderate,20.167501,100.0,23.698214,0.0,1013.2,2.8799999,20.167501,3.0,1012.02075,21.2175,0.223,6.8399997,90.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,24.7675,3.396233,122.00535,0.0,25.2,20.167501,0.0,0.0,0,0,0,Medium
Kolkata,2015-02-24,149.5,572.0,61.9,68.0,151.8,47.1,0.91,99.4,162.4,19.14,10.99,4.66,237.2,Very Poor,20.4675,98.46811,23.3973,0.0,1012.2,7.172949,20.2175,3.0,1011.0232,22.2175,0.208,11.159999,162.47433,81.0,0.0,0.0,0.03686285,0.0,80.0,0.0,25.3675,14.044615,178.53123,0.0,28.6,20.289211,0.0,0.0,0,1,0,Medium
Kolkata,2015-02-25,331.7,525.7,106.6,80.4,85.4,42.0,2.38,8.7,48.1,16.44,1.49,3.24,393.7,Moderate,21.067501,96.3743,24.855812,0.0,1009.5,2.16,20.4675,2.0,1008.3285,22.3675,0.194,8.64,180.0,71.0,0.0,0.0,0.09052324,0.0,71.0,0.0,25.7675,4.3349743,221.63345,0.0,25.8,20.62684,0.0,0.0,0,2,0,Medium
Kolkata,2015-02-26,156.5,311.4,55.9,48.4,13.1,12.7,5.18,3.1,63.7,7.01,29.68,3.95,92.5,Severe,20.8675,95.479416,23.893665,0.0,1008.6,6.162207,20.1175,0.0,1007.42896,22.6175,0.182,9.72,186.70975,0.0,0.0,0.0,0.11149335,0.0,0.0,0.0,26.317501,14.84318,202.8337,0.0,27.8,20.314255,0.0,0.0,0,3,0,Medium
Kolkata,2015-02-27,80.7,33.4,183.5,149.3,245.1,14.8,0.03,86.8,36.0,11.67,15.8,2.12,442.5,Very Poor,21.667501,92.89562,24.75091,0.0,1009.9,6.989936,20.4675,0.0,1008.7306,23.1175,0.173,18.0,214.50858,15.0,0.0,0.0,0.18400812,0.0,15.0,0.0,26.4675,15.273505,224.9999,0.0,28.2,20.782211,0.0,0.0,0,4,0,Medium
Kolkata,2015-02-28,389.3,297.3,171.1,93.9,112.3,11.3,6.81,43.4,19.7,19.76,4.22,0.28,283.9,Very Poor,21.0175,98.17178,23.864521,0.0,1011.2,9.504272,20.7175,3.0,1010.02655,23.0175,0.165,12.599999,217.30403,98.0,0.0,0.0,0.045503855,0.0,97.0,0.0,26.6175,18.899143,220.36446,0.0,28.1,20.803894,0.0,0.0,0,5,1,Medium
Kolkata,2015-03-01,304.6,476.8,134.7,39.0,213.7,16.5,1.37,77.4,11.9,5.58,8.2,6.92,195.5,Good,19.167501,100.0,21.404285,0.0,1011.7,8.373386,19.167501,3.0,1010.5184,21.3675,0.159,10.799999,205.4633,100.0,0.0,0.0,0.0,76.0,100.0,0.0,26.3675,12.397806,205.82094,0.0,21.9,19.167501,0.0,0.0,0,6,1,Medium
Kolkata,2015-03-02,488.9,330.8,40.7,21.1,73.9,11.0,9.15,33.9,167.3,15.47,9.81,9.51,72.2,Moderate,18.917501,98.45007,21.135695,0.0,1011.9,6.8777895,18.667501,3.0,1010.7172,21.4675,0.154,10.08,227.12111,93.0,0.0,0.0,0.033886194,0.0,92.0,0.0,26.2175,13.755579,227.12111,0.0,23.7,18.731033,0.0,0.0,0,0,0,Medium
Kolkata,2015-03-03,469.0,464.8,99.5,115.5,179.3,15.0,6.14,59.9,119.2,10.93,19.5,6.57,288.6,Moderate,19.7675,86.051895,21.815008,0.0,1011.8,4.0249224,17.3675,1.0,1010.6208,22.2175,0.151,6.8399997,10.304792,21.0,0.0,0.0,0.32151878,0.0,0.0,21.0,26.667501,2.9024127,29.744795,0.0,37.8,18.053598,0.0,0.0,0,1,0,Medium
Kolkata,2015-03-04,281.9,195.1,190.1,19.2,39.8,0.3,5.26,57.6,181.8,8.77,27.86,8.67,481.8,Severe,21.067501,94.89796,24.212753,1.5,1009.1,5.692099,20.2175,61.0,1007.92896,23.817501,0.217,17.64,34.69522,93.0,1.5,0.0,0.1273861,19.0,62.0,73.0,26.9675,7.8954163,43.152412,0.0,42.2,20.440256,0.0,0.0,0,2,0,Medium
